CourseID,courseTitle,url,price,numberOfSubscribers,numberOfReviews,numberOflectures,level,rating,contentDuration,publishedTimestamp,department ,instructors 
49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,0,65576,936,24,All Levels,0.56,8,2013-04-20T02:25:22Z,Business Finance,"Charls Hokins, Brian Göss"
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,4397,16,Beginner Level,0.95,1-May,2013-04-07T21:39:25Z,Business Finance,"Vincent Turner, Luca Mosschini"
133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,0,50855,2698,15,All Levels,0.91,1-May,2013-12-25T19:53:34Z,Business Finance,Brian Göss
151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,29167,1463,8,All Levels,0.18,1-May,2014-05-27T16:22:16Z,Business Finance,"Chris Benjamin, Luca Mosschini"
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,195,24481,2347,174,All Levels,0.37,10,2016-01-21T01:38:48Z,Business Finance,Sharper Trades
97338,Forex Basics,https://www.udemy.com/forex-basics/,0,22344,712,26,All Levels,0.89,3-May,2013-10-16T17:40:23Z,Business Finance,"Chris Benjamin, Luca Mosschini"
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,22257,2697,138,Intermediate Level,0.13,7-May,2014-11-25T23:00:40Z,Business Finance,"Sharper Trades, Luca Mosschini"
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,200,20195,1113,227,All Levels,0.21,16,2014-10-27T22:01:36Z,Business Finance,
399938,Professional Logo Design in Adobe Illustrator,https://www.udemy.com/professional-logo-design-crash-course/,,,,,Beginner Level,,7-May,2015-01-22T11:18:06Z,Graphic Design,"Chris Benjamin, Sharper Trades"
437398,Build Responsive Real World Websites with HTML5 and CSS3,https://www.udemy.com/design-and-develop-a-killer-website-with-html5-and-css3/,,43977,,,All Levels,0.34,12,2015-03-24T22:06:26Z,,
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,75,,525,,Beginner Level,0.31,4,2013-01-03T00:55:31Z,Web Development,
708578,Bootstrap 4 Quick Start: Code Modern Responsive Websites,https://www.udemy.com/bootstrap-4/,0,,2104,,,0.52,3,,Web Development,
719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,https://www.udemy.com/angular-2-tutorial-for-beginners/,150,40070,8341,,All Levels,0.74,9-May,2016-03-03T20:17:59Z,Web Development,
674608,The Complete Web Developer Masterclass: Beginner To Advanced,,195,37141,1813,,,0.07,51,2016-05-18T00:16:26Z,Web Development,"Colt Steel, Brad Hussey"
772618,Learn Object Oriented PHP By Building a Complete Website,https://www.udemy.com/learn-object-oriented-php-by-building-a-complete-website/,0,,2618,,All Levels,,4-May,2016-03-01T17:38:10Z,Web Development,
820194,,https://www.udemy.com/photoshop-for-entrepreneurs/,200,,737,,All Levels,0.96,5,,,Brian Göss
16646,Web Programming with Python,,,,217,,Beginner Level,0.78,4,2012-04-25T00:01:43Z,Web Development,
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,https://www.udemy.com/web-developer-course/,200,,4434,,Beginner Level,0.31,32.5,2015-08-20T20:55:19Z,Web Development,"Colt Steel, Brad Hussey"
519442,,,195,,3809,,All Levels,0.77,31-May,,Web Development,
249126,Logo Design Essentials,,20,,,,Beginner Level,0.88,0.7,,Graphic Design,"Chris Benjamin, Sharper Trades"
42271,Complete Guitar System - Beginner to Advanced,https://www.udemy.com/complete-guitar-system-beginner-to-advanced/,145,,,,,0.65,34,,,Brian Göss
949282,Learn Angular 2 from Beginner to Advanced,https://www.udemy.com/learn-angular-2-from-beginner-to-advanced/,195,,526,,Beginner Level,0.7,10,,Web Development,"Colt Steel, Brad Hussey"
294794,Create An HTML5 Video Player From Scratch,,0,,1005,,All Levels,,1-May,,Web Development,
695656,The Complete JavaScript Course For Web Development Beginners,https://www.udemy.com/javascriptcourse/,195,,450,,Beginner Level,0.76,4,,Web Development,
19332,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,,,,,,0.07,18,,,
511934,AngularJS For Beginners,https://www.udemy.com/angularjs-for-beginners-udemy/,0,,1948,,All Levels,0.78,3,,Web Development,
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,11441,1118,61,All Levels,0.81,4-May,2016-06-28T06:12:23Z,Business Finance,
774174,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,https://www.udemy.com/bitcoin-podcast/,0,10670,444,15,All Levels,0.81,1,2016-03-03T21:03:33Z,Business Finance,Chris Benjamin
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,10605,71,77,All Levels,0.81,3,2014-10-24T18:13:49Z,Business Finance,Luca Mosschini
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,200,10603,872,42,All Levels,0.81,5-May,2014-10-12T21:19:11Z,Business Finance,Brian Göss
205810,Beginners Binary Options Course,https://www.udemy.com/beginners-binary-options-trading-course/,0,10540,799,14,All Levels,0.81,1-May,2014-04-27T06:58:27Z,Business Finance,Sharper Trades
109622,Finance - Ratios Analysis & Interpretations,https://www.udemy.com/financial-ratios/,30,10338,52,41,Beginner Level,0.81,2-May,2013-10-23T18:34:25Z,Business Finance,Chris Benjamin
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,10149,83,16,All Levels,0.81,2,2015-05-26T17:25:46Z,Business Finance,Brian Göss
43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,180,10100,985,45,All Levels,0.81,11,2013-02-25T11:36:06Z,Business Finance,"Sharper Trades, Luca Mosschini"
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,10042,594,43,Beginner Level,0.81,3,2015-10-22T00:03:48Z,Business Finance,"Chris Benjamin, Sharper Trades"
114518,Improve Your Financial Literacy,https://www.udemy.com/improve-your-financial-literacy-in-less-than-three-hours/,0,9995,96,10,All Levels,0.81,2,2014-02-10T03:50:00Z,Business Finance,Luca Mosschini
252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,150,9015,65,23,All Levels,0.81,2-May,2014-07-01T20:04:27Z,Business Finance,Luca Mosschini
348116,Photoshop In-Depth: Master all of Photoshop's Tools Easily,https://www.udemy.com/photoshop-tools/,0,53851,1779,45,All Levels,0.69,4-May,2014-11-30T04:22:11Z,Graphic Design,"Chris Benjamin, Sharper Trades"
17349,Figure Drawing From Life Using The Reilly Technique.,,0,47811,1041,22,Beginner Level,0.11,2-May,2012-05-09T18:14:57Z,Graphic Design,"Chris Benjamin, Sharper Trades"
399938,Professional Logo Design in Adobe Illustrator,https://www.udemy.com/professional-logo-design-crash-course/,0,44044,1563,45,Beginner Level,0.89,7-May,2015-01-22T11:18:06Z,Graphic Design,"Rawson Uddin, Rob Cubbon "
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,https://www.udemy.com/photoshop-for-entrepreneurs/,200,36288,737,63,All Levels,0.96,5,2016-06-09T01:57:03Z,Graphic Design,Diego Davilla
249126,Logo Design Essentials,https://www.udemy.com/logo-design/,20,33205,481,12,Beginner Level,0.88,0.7,2014-06-30T03:09:27Z6,Graphic Design,Rob Cubbon 
874012,The Ultimate Drawing Course - Beginner to Advanced,https://www.udemy.com/the-ultimate-drawing-course-beginner-to-advanced/,150,26742,2379,62,Beginner Level,0.24,11,2017-01-23T00:20:05Z,Graphic Design,"Rob Cubbon, Diego Davilla"
385462,Logo Designing for Your Business in an Hour,https://www.udemy.com/logo-designing-side-business/,20,25277,311,16,Beginner Level,0.38,1,2015-01-05T10:43:48Z,Graphic Design,Rawson Uddin
178044,How To Make Graphics For A Website,https://www.udemy.com/how-to-make-graphics-for-a-website/,200,24857,35,11,All Levels,0.89,1-May,2014-03-15T21:53:19Z,Graphic Design,"Lindsay Marsh, Daniel Walter Scott"
397204,Typography Design: Learn Web Typography The Practical Way,https://www.udemy.com/typography-design-learn-web-typography/,20,970,9,34,Intermediate Level,0.12,2,,Graphic Design,Daniel Walter Scott
1260674,Learn Comic Book Color Flatting! (Coloring Assistant role),https://www.udemy.com/flatting/,0,946,3,6,All Levels,0.74,0.666666667,2017-06-20T17:57:00Z,Graphic Design,Daniel Walter Scott
431562,Photoshop: 5 Practical Techniques to Improve Your Skills,https://www.udemy.com/photoshop-5-practical-techniques-to-improve-your-skills/,20,780,5,5,All Levels,0.94,0.716666667,2015-02-26T18:16:34Z,Graphic Design,"Lindsay Marsh, Diego Davilla"
1165588,The Art of Icon Design: Create Custom Flat Icon Designs,https://www.udemy.com/the-art-of-icon-design-create-custom-flat-icon-designs/,90,778,2,24,Intermediate Level,0.94,1-May,2017-04-04T15:04:21Z,Graphic Design,"Diego Davilla, Sam Shimizu-Jones"
810234,Beginners Guide: Photoshop Poster/Artwork,https://www.udemy.com/do-it-yourself-learn-photoshop-postersflyers-creation/,20,775,5,6,Beginner Level,0.94,1,2016-04-02T05:26:22Z,Graphic Design,Rawson Uddin
463354,Editorial Illustration Tutorial: From Drawing to Photoshop,https://www.udemy.com/editorial-illustration-illuminating-the-written-word/,45,774,39,35,All Levels,0.94,2-May,2015-04-08T16:57:23Z,Graphic Design,"William Carnahan, Sam Shimizu-Jones"
659340,Pic Monkey for Beginners - Graphic Design and Photo Editing,https://www.udemy.com/pic-monkey-101/,20,774,3,17,Expert Level,0.94,3,2015-11-08T22:12:37Z,Graphic Design,"Rawson Uddin, Daniel Walter Scott"
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,200,,22412,304,Beginner Level,0.55,30-May,2016-03-08T22:28:36Z,Web Development,"Daniel Walter Scott, Phil Ebiner "
19421,Free Beginner Electric Guitar Lessons,,0,101154,1042,95,All Levels,0.88,4-May,2012-06-15T17:00:33Z,Musical Instruments,William Carnahan
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,0,98867,6512,20,All Levels,0.82,3,2015-04-13T18:29:47Z,Web Development,
94430,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,30,84897,,10,,0.79,2,,Web Development,"Colt Steel, Brad Hussey"
130064,Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/code-dynamic-websites/,0,83737,4598,45,Intermediate Level,,6-May,2014-07-19T03:02:05Z,Web Development,Simon Sez
364426,,https://www.udemy.com/understand-javascript/,175,,,85,All Levels,,11-May,,Web Development,
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,,200,75499,,362,Beginner Level,0.96,30,,Musical Instruments,
756150,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,190,,,329,,0.9,22,2016-02-11T07:29:29Z,,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,0,,1716,22,All Levels,0.94,2,2012-07-27T12:54:57Z,Web Development,
65330,Web Development By Doing: HTML / CSS From Scratch,,,,,21,,0.39,1,2013-09-25T00:42:09Z,,Simon Sez
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,,0,,5660,50,,0.57,6,,Web Development,
11174,Become a Web Developer from Scratch,,120,69186,2408,197,All Levels,0.61,27-May,2011-11-19T21:51:20Z,,
49798,,,0,65576,,24,All Levels,,8,2013-04-20T02:25:22Z,,"Paul William, Daniel Boudreau"
314462,Quickstart AngularJS,,0,64128,,17,Beginner Level,,1-May,2014-11-22T12:42:22Z,Web Development,"Paul William, Daniel Boudreau"
128946,Learn Responsive Web Development from Scratch,,0,59639,2692,24,All Levels,0.55,4-May,2013-12-09T12:16:40Z,Web Development,
289230,,,,59361,11580,55,,0.87,7,2014-09-24T00:57:25Z,Web Development,"Colt Steel, Brad Hussey"
461160,Learn and Understand NodeJS,,,,11123,98,,0.73,13,2015-08-31T21:07:48Z,,
556248,The Complete HTML & CSS Course - From Novice To Professional,,,,874,84,,0.82,7-May,,Web Development,
48841,,,,,4397,16,Beginner Level,0.95,1-May,2013-04-07T21:39:25Z,,Simon Sez
580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,,195,55332,1225,144,,,20,2015-09-22T18:14:08Z,,
348116,,,0,53851,1779,,All Levels,0.69,4-May,2014-11-30T04:22:11Z,Graphic Design,
80940,Build Websites from Scratch with HTML & CSS,,145,51257,,,All Levels,0.76,8,2013-09-25T15:59:09Z,,Simon Sez
133536,,,0,50855,,,,0.91,1-May,,,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
705264,Modern React with Redux,,,50815,15117,,All Levels,0.62,26-May,2015-12-28T19:20:21Z,,
,,,,,,,,,,,,Simon Sez
,,,,,,,,,,,,
,,,,,,,,,,,,
699380,Creating an animated greeting card via Google Slides,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides-3/,20,770,8,8,All Levels,0.94,1,2016-05-06T15:54:32Z,Graphic Design,
971260,Logo Design - Design a Logo in Photoshop for beginners,https://www.udemy.com/logo-design-photoshop/,30,740,20,12,Beginner Level,0.94,0.583333333,2016-12-02T18:27:20Z,Graphic Design,
927186,Learn Blender 3D  - The introduction course,https://www.udemy.com/learn-blender-3d-in-under-2-hours-the-intro-course/,100,739,12,15,All Levels,0.94,1-May,2016-08-19T00:52:30Z,Graphic Design,"Rob Cubbon, Lindsay Marsh"
231970,Drawing Perspective For Beginners,https://www.udemy.com/perspective-drawing-101/,150,736,50,44,All Levels,0.94,7-May,2016-03-20T21:38:48Z,Graphic Design,William Carnahan
1027080,Logo Portfolio in 1 Hour in Wordpress,https://www.udemy.com/logoportfolio/,100,734,9,36,All Levels,0.94,1,2016-12-06T22:13:44Z,Graphic Design,"Rawson Uddin, Sam Shimizu-Jones"
188584,Letras en Adobe Illustrator,https://www.udemy.com/letras-en-adobe-illustrator/,40,0,0,13,All Levels,0.76,2-May,2014-04-04T21:23:23Z,Graphic Design,"Diego Davilla, Sam Shimizu-Jones"
185526,MicroStation - C√©lulas,https://www.udemy.com/microstation-celulas/,20,0,0,9,Beginner Level,0.76,0.616666667,2014-04-15T21:48:55Z,Graphic Design,"Rob Cubbon, William Carnahan"
1177156,Como Criar Logos de Sucesso - Start Designer,https://www.udemy.com/como-criar-logos-de-sucesso-start-designer/,25,0,0,29,All Levels,0.76,6,2017-06-30T05:48:57Z,Graphic Design,Lindsay Marsh
1128984,Photoshop - Aprende a Transformar Im√°genes,https://www.udemy.com/photoshop-aprende-a-transformar-imagenes/,20,0,0,14,All Levels,0.76,1,2017-03-08T18:05:51Z,Graphic Design,Rawson Uddin
177614,Super Textos con Photoshop,https://www.udemy.com/super-textos-con-photoshop/,20,0,0,8,All Levels,0.76,2,2014-03-31T20:31:04Z,Graphic Design,"Daniel Walter Scott, Phil Ebiner "
1137738,Photoshop - Creaci√≥n de Efectos,,20,0,0,11,Beginner Level,0.76,1,2017-03-24T20:06:57Z,Graphic Design,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
185528,In√≠ciate en Microstation,https://www.udemy.com/iniciate-en-microstation/,20,0,0,10,Beginner Level,0.76,1,2014-04-15T21:52:12Z,Graphic Design,"Phil Ebiner, William Carnahan"
1132342,Ultimate Beginner Guitar Masterclass,https://www.udemy.com/beginner-guitar-masterclass/,200,8113,79,124,,0.18,11-May,2017-05-15T23:04:11Z,Musical Instruments,"Rawson Uddin, Daniel Walter Scott, Phil Ebiner "
194692,Quicklessons Piano Course - Learn to Play Piano by Ear!,https://www.udemy.com/quicklessons/,200,7178,260,144,Intermediate Level,0.15,8-May,2014-04-12T17:29:32Z,Musical Instruments,Lindsay Marsh
76524,A new approach to piano and playing songs for beginners,https://www.udemy.com/contemporary-piano/,50,7140,72,26,All Levels,0.18,1-May,2013-08-11T20:39:24Z,Musical Instruments,"Paul William, Rimma Agbo"
409818,Get started playing blues harmonica,https://www.udemy.com/get-started-playing-blues-harmonica/,0,6853,398,23,Intermediate Level,0.99,0.616666667,2015-03-30T22:01:08Z,Musical Instruments,"Daniel Boudreau, Rimma Agbo"
517148,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,https://www.udemy.com/acoustic-fingerstyle-guitar/,200,6565,55,56,All Levels,0.11,4,2015-08-04T17:40:13Z,Musical Instruments,"Paul William, Daniel Boudreau"
824044,PI-101 Top 10 Classical Piano Pieces for Beginners,https://www.udemy.com/pi-101-piano/,0,6292,183,38,Beginner Level,0.96,1,2016-05-30T21:02:20Z,Musical Instruments,Rimma Agbo
20387,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,50,2673,17,29,Beginner Level,0.11,2-May,2012-07-06T21:33:05Z,Musical Instruments,"Daniel Boudreau, Rimma Agbo"
838896,Learn Piano Online-Ambiance Piano Solo,https://www.udemy.com/learn-piano-online-ambiance-piano-solo/,50,8,0,10,,0.29,1,2016-06-21T02:40:52Z,,Caroline McCaskey
1144288,,https://www.udemy.com/poldark-tv-series-soundtracks-for-piano-quicklessons/,20,8,,9,,0,1,,Musical Instruments,"Paul William, Rimma Agbo"
838320,The Art of the Blues Shuffle - A Guitarist's Guide,https://www.udemy.com/the-art-of-the-blues-shuffle-a-guitarists-guide/,20,8,,11,,0,1-May,2016-06-26T16:57:13Z,,
858064,Beginner Level Popular Piano Program - Month 1,,30,,2,13,,0,1,,Musical Instruments,"Paul William, Lesson Pross, Caroline McCaskey"
387064,Guitarra para principiantes,https://www.udemy.com/guitarra-para-principiantes/,20,7,,46,,0,2,2015-01-22T19:34:43Z,Musical Instruments,
