CourseID,courseTitle,url,price,numberOfSubscribers,numberOfReviews,numberOflectures,level,rating,contentDuration,publishedTimestamp,department ,instructors 
212520,Aprende a tocar ritmos latinos en el teclado,https://www.udemy.com/aprende-a-tocar-ritmos-latinos-en-el-teclado/,,7,0,31,,0,3-May,2014-05-09T20:01:06Z,Musical Instruments,
212438,],https://www.udemy.com/aprende-a-tocar-salsa-en-el-piano/,50,,0,17,,0,3,2014-05-09T19:50:45Z,Musical Instruments,
806640,Blues Master - Advanced Techniques Piano Course,https://www.udemy.com/blues-master-advanced-techniques-piano-course/,,7,,14,,0,1,,,
34332,Aprende a tocar la guitarra,https://www.udemy.com/aprende-a-tocar-la-guitarra/,50,7,1,25,,0,1-May,,,"Paul William, Lesson Pross, Caroline McCaskey"
1223570,Learn How To Play 25 Classic Hip Hop Songs Ch.2,,25,,1,27,,0,3-May,2017-05-23T23:51:34Z,Musical Instruments,
944550,Learn Piano Online-A Quiet Solace Piano Solo,https://www.udemy.com/learn-piano-online-a-quiet-solace-piano-solo/,,7,,10,,0,1,2016-08-29T21:48:56Z,Musical Instruments,
806638,Blues Master - Beginner's Techniques Piano Course,https://www.udemy.com/blues-master-basic-techniques-piano-course/,0,2618,41,16,Beginner Level,0.11,1-May,2016-03-29T00:12:41Z,Musical Instruments,
807934,The 80/20 Guitar: Write Music and Play Guitar in 30 Days,https://www.udemy.com/8020guitar/,0,2610,28,24,Beginner Level,0.11,3-May,2016-04-20T15:48:09Z,Musical Instruments,
288854,"Beginner's Guitar: Tuning, Strumming, and Chords!",https://www.udemy.com/beginners-guitar-tuning-strumming-and-chords/,0,2577,30,6,All Levels,0.11,0.616666667,2015-07-03T19:07:11Z,Musical Instruments,Daniel Boudreau
214770,Aprende a tocar M√∫sica Cristiana en el piano y teclado,https://www.udemy.com/aprende-a-tocar-musica-cristiana-en-el-piano-y-teclado/,20,17,3,13,All Levels,0.97,1,2014-05-16T17:02:00Z,Musical Instruments,Rimma Agbo
1036338,Instant harmonica - enjoy playing Silent Night tonight!,https://www.udemy.com/instant-harmonica-enjoy-playing-silent-night-tonight/,40,16,3,12,Beginner Level,0.89,0.633333333,2016-12-14T21:53:51Z,Musical Instruments,Paul William 
632234,Guitar Chords and Basic Strumming,,20,,0,35,Beginner Level,0.22,2-May,,,Rimma Agbo
847808,,https://www.udemy.com/takalittle3/,20,,0,36,All Levels,0.76,1,2016-10-03T16:42:12Z,Musical Instruments," Lesson Pross, Daniel Boudreau"
785210,Flute Lessons For Beginners,https://www.udemy.com/the-music-coach-online-flute-lesson-program/,95,,0,41,Beginner Level,0.27,2-May,2016-03-09T00:34:03Z,Musical Instruments,
195196,Aprende a improvisar en la guitarra el√©ctrica,https://www.udemy.com/aprende-a-improvisar-en-la-guitarra-electrica/,,,0,19,All Levels,0.34,3,2014-05-05T21:59:45Z,,
594854,Getting Started on the Acoustic Guitar,https://www.udemy.com/getting-started-on-the-acoustic-guitar/,20,,0,28,All Levels,0.84,1,2015-10-20T20:02:26Z,Musical Instruments,
963664,Learn Piano Online-Nocturnal Piano Solo,,60,,0,11,Beginner Level,0.53,1-May,2016-09-21T04:58:08Z,Musical Instruments,"Paul William, Lesson Pross, Caroline McCaskey"
1124590,Learn How To Play The Trumpet,https://www.udemy.com/learn-how-to-play-the-trumpet/,75,,0,24,All Levels,0.51,1-May,2017-06-19T21:42:44Z,Musical Instruments,
687742,,https://www.udemy.com/takalittle2/,20,2,0,47,Beginner Level,0.88,3-May,2016-02-18T19:19:38Z,Musical Instruments,
1243162,Aprende a tocar las escalas en el acorde√≥n de botones.,https://www.udemy.com/las-escalas-en-el-acordeon-de-botones/,20,2,0,21,All Levels,0.86,1,2017-06-17T23:48:41Z,Musical Instruments,
1195742,The Music Coach Online Spirit Drum Course,https://www.udemy.com/the-music-coach-online-spirit-drum-course-i/,95,2,0,86,Beginner Level,0.95,5-May,,Musical Instruments,Caroline McCaskey
834422,Curso de Teclado,https://www.udemy.com/curso-de-teclado-gospel-modulo-1/,40,1,0,26,All Levels,0.96,1-May,2016-05-16T18:46:15Z,Musical Instruments,
448250,improvisaci√≥n de Guitarra,https://www.udemy.com/improvisacion-de-guitarra/,20,1,0,10,Beginner Level,0.74,1,2015-03-24T18:59:20Z,Musical Instruments,
968026,Learn to Play Tabla - The Indian drums,,0,1,0,20,All Levels,0.78,1-May,2017-07-04T21:04:11Z,Musical Instruments,
730702,Ukulele 3:  Intermediate,https://www.udemy.com/ukulele-3-songs-to-learn-in-7-days/,25,1,0,11,Intermediate Level,0.11,0.65,2017-05-24T23:03:44Z,Musical Instruments,
724436,Guitarra Ac√∫stica en Siete D√≠as,,20,1,1,38,Beginner Level,0.96,2-May,2016-01-29T20:38:03Z,Musical Instruments," Lesson Pross, Caroline McCaskey"
939636,Coaching Bundle: Guitar for Music Educators: Part 2,https://www.udemy.com/coaching-bundle-guitar-for-music-educators-part-2/,,,1,6,All Levels,0.24,0.5,2016-09-02T15:11:55Z,,
974704,Learn Piano Online-In the Garden Piano Solo,https://www.udemy.com/learn-piano-online-in-the-garden-piano-solo/,60,,0,11,All Levels,0.37,1,2016-10-03T22:36:29Z,Musical Instruments,
944804,Coaching Bundle: Guitar for Music Educators: Part 1,https://www.udemy.com/coaching-bundle-guitar-for-music-educators-part-1/,135,1,,5,All Levels,0.04,0.5,2016-09-01T23:22:14Z,Musical Instruments," Lesson Pross, Caroline McCaskey"
741388,Piano With Willie: Jazz Kids - Vol 3,https://www.udemy.com/piano-with-willie-jazz-kids-vol-3/,40,16,1,29,Beginner Level,0.16,3,2016-04-13T06:01:56Z,Musical Instruments,
1111562,Instant Harmonica - play 'I just called to say I love you',https://www.udemy.com/instant-harmonica-play-i-just-called-to-say-i-love-you/,40,15,0,11,Beginner Level,0.16,1,2017-02-15T20:44:12Z,Musical Instruments,
839032,"Bluegrass Guitar Essentials: Webisodes 13, 14, & 15",https://www.udemy.com/bluegrass-guitar-essentials-webisodes-13-14-15/,30,14,1,13,All Levels,0.16,1-May,2016-12-15T03:58:40Z,Musical Instruments,Daniel Boudreau
818786,Drum Lessons For Beginners,https://www.udemy.com/the-music-coach-online-drum-lesson-program/,95,14,1,34,Beginner Level,0.16,2-May,2016-04-13T21:02:15Z,Musical Instruments,Paul William 
721202,Guitar 201: Breakthroughs,https://www.udemy.com/guitar-201-breakthroughs/,20,14,1,49,Beginner Level,0.16,2-May,2016-01-22T20:11:29Z,Musical Instruments,Rimma Agbo
214828,"Aprende a tocar percusiones: congas, bong√≥s, maracas y m√°s",https://www.udemy.com/aprende-a-tocar-percusiones-congas-bongos-maracas-y-mas/,50,14,2,71,All Levels,0.16,3-May,2014-05-16T17:07:11Z,Musical Instruments, Lesson Pross
1076244,Practical Guitar Theory: Level 1,https://www.udemy.com/practical-guitar-theory-level-1/,60,14,3,41,Intermediate Level,0.16,1-May,2017-05-01T21:04:16Z,Musical Instruments,Caroline McCaskey
211052,Aprende todos los secretos de la guitarra flamenca,https://www.udemy.com/aprender-a-tocar-la-guitarra-flamenca/,50,13,2,23,Beginner Level,0.16,3-May,2014-05-07T21:26:44Z,Musical Instruments," Lesson Pross, Daniel Boudreau"
450246,Back In Black the AC/DC Classic Rock Track,https://www.udemy.com/back-in-black-the-acdc-classic-rock-track/,20,13,1,72,All Levels,0.16,2,2015-04-10T21:07:56Z,Musical Instruments,Paul William 
794398,Make Electronic Music with the iPad,https://www.udemy.com/playspacemusic/,20,13,0,69,All Levels,0.16,1-May,2016-04-01T06:53:55Z,Musical Instruments,Caroline McCaskey
1026762,Coaching Course: Rhythm Instruction for Music Educators P2,https://www.udemy.com/coaching-bundle-rhythm-instruction-for-music-educators-p2/,125,0,0,7,Beginner Level,0.06,0.633333333,2017-03-10T17:06:46Z,Musical Instruments," Lesson Pross, Caroline McCaskey"
1223240,Learn Pirates of the Caribbean by Ear on the Piano,https://www.udemy.com/learn-pirates-of-the-caribbean-by-ear-on-the-piano/,20,0,0,6,All Levels,0.08,0.533333333,2017-05-22T17:14:43Z,Musical Instruments,"Paul William, Daniel Boudreau"
1224186,Learn to Play Piano Like a Pro - Easy Piano Course 1,https://www.udemy.com/learn-to-play-piano-like-a-pro/,35,0,0,13,Beginner Level,0.78,0.516666667,2017-05-30T00:19:02Z,Musical Instruments,"Paul William, Caroline McCaskey"
1234656,4 Week Rhythm Mastery,https://www.udemy.com/4-week-rhythm-mastery/,20,0,0,28,All Levels,0.01,2-May,2017-07-05T16:07:44Z,Musical Instruments,"Rimma Agbo, Caroline McCaskey"
556922,Learn Ruby on Rails: Stripe Payment Processing,https://www.udemy.com/learn-ruby-on-rails-stripe-payment-processing/,40,15724,33,29,Beginner Level,0.44,1-May,2016-11-02T22:09:47Z,Web Development, Lesson Pross
494078,Expert Guide : Mastering Functions in JavaScript !,https://www.udemy.com/functions-in-javascript/,195,3015,30,19,All Levels,0.8,2-May,2015-06-19T22:58:29Z,Web Development,"Paul William, Lesson Pross, Caroline McCaskey"
957422,How to Create A Website: An HTML Tutorial and CSS Tutorial,https://www.udemy.com/html-tutorial/,65,3012,260,330,All Levels,0.8,32.5,2016-09-25T20:55:57Z,Web Development,Gordan Candell
151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,,,8,All Levels,0.18,1-May,,Business Finance,Colt Steel
405282,PHP for Beginners -Become a PHP Master - Project Included,https://www.udemy.com/php-for-complete-beginners-includes-msql-object-oriented/,200,,4316,286,Beginner Level,,30-May,,,
1025026,Javascript - From Beginner to Pro-Build real world JS apps,,195,,688,77,All Levels,0.05,11-May,,Web Development,
607048,Essentials of JavaScript Practice Coding Exercises Tips,https://www.udemy.com/essentials-of-javascript-practice-coding-exercises-tips/,80,,115,21,Beginner Level,0.38,2,,Web Development,"Colt Steel, Brad Hussey"
851712,The Complete JavaScript Course: Build a Real-World Project,https://www.udemy.com/the-complete-javascript-course/,195,,4340,113,Beginner Level,0.21,17-May,,Web Development,
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,20,26800,,55,All Levels,0.32,3,,Web Development,
874012,The Ultimate Drawing Course - Beginner to Advanced,https://www.udemy.com/the-ultimate-drawing-course-beginner-to-advanced/,150,26742,,62,Beginner Level,0.24,11,,Graphic Design,
470288,EMMET Faster HTML & CSS workflow - Best Tool For Developers,,,26697,,20,Beginner Level,,1,,,"Colt Steel, Brad Hussey"
11475,Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,100,26673,,185,All Levels,0.22,12,,Web Development,"Colt Steel, Brad Hussey"
429364,Master the Basics of HTML5 & CSS3: Beginner Web Development,https://www.udemy.com/master-the-basics-of-html5-css3-beginner-web-development/,0,26541,,38,All Levels,0.15,3,2015-05-21T22:47:47Z,Web Development,
26956,,https://www.udemy.com/learn-guitar-in-21-days/,,26504,,82,All Levels,0.41,2-May,2012-10-21T20:36:50Z,Musical Instruments,
24334,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,20,25864,,32,,0.78,5,2012-10-31T16:39:49Z,Web Development,"Colt Steel, Brad Hussey"
15285,HTML Workshop,,,25854,,17,,0.28,2,2012-04-08T05:12:43Z,,
653846,,https://www.udemy.com/master-the-mean-stack/,,25799,,42,,,4-May,,Web Development,
385462,Logo Designing for Your Business in an Hour,https://www.udemy.com/logo-designing-side-business/,,25277,,16,,0.38,1,2015-01-05T10:43:48Z,Graphic Design,Brad Hussey
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,195,24978,,67,,0.89,7,2015-10-27T20:27:11Z,Web Development,
629142,The Ultimate Web Developer How To Guide,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,200,,,281,,0.85,22-May,2015-11-26T04:31:11Z,Web Development,
178044,How To Make Graphics For A Website,https://www.udemy.com/how-to-make-graphics-for-a-website/,,,,11,,0.89,1-May,2014-03-15T21:53:19Z,,"Colt Steel, Brad Hussey"
22445,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,,,423,13,,0.11,0.733333333,,Graphic Design,
369662,Running a Web Development Business: The Complete Guide,https://www.udemy.com/the-complete-guide-to-running-a-web-development-business/,,,525,98,,0.12,19-May,,,
648826,The Complete Financial Analyst Course 2017,,195,24481,2347,174,,0.37,10,2016-01-21T01:38:48Z,Business Finance,"Colt Steel, Brad Hussey"
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,,20,23764,490,58,,0.14,5-May,2015-10-17T04:52:25Z,Web Development,
60792,,,0,23669,521,9,,0.96,1,2013-06-23T02:38:19Z,Web Development,
882488,WordPress Development For Beginners,,,23572,210,20,,0.71,2,2016-06-20T18:46:15Z,Web Development,"Colt Steel, Brad Hussey"
47963,"Coding for Entrepreneurs: Learn Python, Django, and More.",,195,23412,799,251,,0.07,45,2013-04-08T00:46:14Z,,
660876,Graphic Design - An Overview of the Field,,0,23229,2215,12,,0.53,1,2015-11-09T19:10:57Z,,Brad Hussey
412952,AngularJS For ASP.NET MVC Developers,https://www.udemy.com/angularjs-for-aspnet-mvc-developers/,50,3011,57,10,All Levels,0.8,1,2015-02-23T15:11:20Z,Web Development,"Colt Steel, Brad Hussey"
747650,"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",https://www.udemy.com/learn-html-css-and-ruby-on-rails-build-your-first-blog/,20,2985,40,27,All Levels,0.8,1-May,2016-11-29T23:41:06Z,Web Development,"Gordan Candell, Colt Steel"
452684,jQuery for Beginners - Create Website Animations Easily,https://www.udemy.com/jquery-for-beginners-fundamentals-training-tutorial-course/,100,2971,285,28,Intermediate Level,0.8,3,2015-03-24T00:40:39Z,Web Development,Brad Hussey
1149334,Learn the basics of the Web development: Coding Tactics,https://www.udemy.com/learn-the-basics-of-the-web-development-in-2-hours/,40,2965,17,30,Beginner Level,0.8,2,2017-04-29T00:52:53Z,Web Development,"Angela Yu, Colt Steel"
714678,Learn Ajax and jquery with PHP,https://www.udemy.com/learn-ajax-and-jquery-with-php/,20,2964,8,9,All Levels,0.8,1-May,2016-01-07T17:31:41Z,Web Development,Rob Percival
531290,"Essential JavaScript, jQuery and AngularJS Training",https://www.udemy.com/essential-javascript-jquery-angularjs-training/,30,2919,136,70,All Levels,0.8,7,2015-07-09T22:41:32Z,Web Development,"Brad Hussey, Angela Yu"
782192,Introduction to HTML5 Canvas basics of drawing,https://www.udemy.com/introduction-to-html5-canvas-basics-of-drawing/,200,2918,16,17,Beginner Level,0.8,1,2016-03-14T18:51:45Z,Web Development,"Colt Steel, Brad Hussey"
419318,AngularJS Masterclass - Deep Dive & Understand AngularJS,https://www.udemy.com/angularjs-masterclass/,100,2912,309,85,All Levels,0.8,6,2015-03-04T22:52:26Z,Web Development,Brad Hussey
473338,Wordpress Security,https://www.udemy.com/easy-wordpress-security/,95,2888,26,24,All Levels,0.8,2-May,2015-04-13T17:53:02Z,Web Development,Gordan Candell
636418,Learn Ruby on Rails for Absolute Beginners,https://www.udemy.com/learn-ruby-on-rails-for-absolute-beginners/,195,2875,20,36,Beginner Level,0.8,4-May,2015-10-14T17:51:26Z,Web Development,Brad Hussey
1090788,First Web Application with Spring Boot,https://www.udemy.com/spring-boot-first-web-application/,40,2865,95,32,Beginner Level,0.8,4,2017-01-27T16:45:13Z,Web Development,Angela Yu
954948,Build Responsive Websites in an Hour using Portalfin,https://www.udemy.com/build-website/,0,2859,42,17,All Levels,0.8,0.733333333,2016-09-25T17:45:52Z,Web Development,
637974,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,https://www.udemy.com/expressjs/,50,2643,56,24,All Levels,0.61,3-May,2016-01-07T02:04:55Z,Web Development,Simon Sez
1099956,Bootstrap 4 Theme Development Masterclass,https://www.udemy.com/bootstrap-theme-development-masterclass/,150,2641,28,15,Intermediate Level,0.16,0.65,2017-02-24T02:29:03Z,Web Development,Simon Sez
977474,Ultimate CSS3 Course - From Beginners To Professional,https://www.udemy.com/ultimate-css3-course/,95,2635,25,30,All Levels,0.3,2,2016-10-13T22:36:36Z,Web Development,"Brad Hussey, Simon Sez"
1019918,Master Angular 2 - The No Nonsense Course,https://www.udemy.com/angular-2-tutorial/,25,102,27,36,All Levels,0.62,2-May,2016-11-24T04:06:21Z,Web Development,Gordan Candell
1179104,Learning Path: React: Make Stunning React Websites,https://www.udemy.com/learning-path-react-make-stunning-react-websites/,200,91,5,53,Beginner Level,0.55,6-May,2017-04-18T16:49:41Z,Web Development,Brad Hussey
1194232,Learning Path: Akka: Building Applications and Microservices,https://www.udemy.com/learning-path-akka-building-applications-and-microservices/,200,88,8,55,Beginner Level,0.19,4-May,2017-05-04T00:35:35Z,Web Development,Brad Hussey
1152012,Adobe Experience Manager CMS Basics,https://www.udemy.com/adobe-experience-manager-basics/,35,81,14,33,All Levels,0.46,1,2017-05-02T16:54:56Z,Web Development,"Rob Percival, Simon Sez"
1170920,Node:js : Building Rest Apis with Sails.js,https://www.udemy.com/building-rest-apis-with-sailsjs-and-nodejs/,100,61,9,44,All Levels,0.11,2,2017-04-27T16:49:06Z,Web Development,"Gordan Candell, Angela Yu"
1131732,Set up a localhost Web Server for Faster Website Development,https://www.udemy.com/localhost-web-server/,30,55,13,31,All Levels,0.88,1-May,2017-06-12T15:12:19Z,Web Development,"Angela Yu, Colt Steel"
1227578,Learning Path: The Road to Elasticsearch,https://www.udemy.com/learning-path-the-road-to-elasticsearch/,200,50,5,60,Beginner Level,0.96,5,2017-05-29T17:56:24Z,Web Development,"Rob Percival, Brad Hussey"
1277924,Angular 4 Front To Back,https://www.udemy.com/angular-4-front-to-back/,40,44,0,68,All Levels,0.15,8-May,2017-07-06T15:04:55Z,Web Development,Rob Percival
1248172,Essentials of Spring 5.0 for Developers,https://www.udemy.com/essentials-of-spring-50-for-developers/,125,34,2,21,Beginner Level,0.46,1-May,2017-06-11T18:34:40Z,Web Development,"Angela Yu, Simon Sez"
1250934,Display and analyze GIS data on the web with Leaflet.js,https://www.udemy.com/display-and-analyze-gis-data-on-the-web/,100,25,4,66,Beginner Level,0.67,12-May,2017-06-15T21:17:43Z,Web Development,Brad Hussey
1270222,Learning Path: Web Applications with Spring and Angular,https://www.udemy.com/learning-path-web-applications-with-spring-and-angular/,200,19,2,33,Beginner Level,0.12,4,2017-06-28T21:04:21Z,Web Development,"Angela Yu, Rob Percival"
